idx,retrieved_count,extracted_count,complete_hit
0,5,4,0
1,5,4,0
2,5,0,0
3,2,2,1
4,2,2,1
5,5,0,0
6,5,0,0
7,5,0,0
8,2,0,0
9,5,1,0
10,1,0,0
11,1,0,0
12,2,0,0
13,1,1,1
14,0,0,0
15,1,0,0
16,3,0,0
17,5,5,1
18,1,1,1
19,0,0,0
20,1,1,1
21,3,0,0
22,1,0,0
23,5,3,0
24,1,1,1
25,5,0,0
26,1,1,1
27,3,0,0
28,2,0,0
29,1,0,0
0,5,4,0
1,5,4,0
2,5,0,0
3,2,2,1
4,2,2,1
5,5,0,0
6,5,0,0
7,5,0,0
8,2,0,0
9,5,1,0
10,1,0,0
11,1,0,0
12,2,0,0
13,1,1,1
14,0,0,0
15,1,0,0
16,3,0,0
17,5,5,1
18,1,1,1
19,0,0,0
20,1,1,1
21,3,0,0
22,1,0,0
23,5,3,0
24,1,1,1
25,5,0,0
26,1,1,1
27,3,0,0
28,2,0,0
29,1,0,0
